route_id,origin,destination,total_passengers,weight
HIRASAR-HYDERABAD,HIRASAR,HYDERABAD,54780.0,0.000557
CHENNAI-RAIPUR,CHENNAI,RAIPUR,54637.0,0.000556
DEHRADUN-PUNE,DEHRADUN,PUNE,54308.0,0.000552
GUWAHATI-LUCKNOW,GUWAHATI,LUCKNOW,54058.0,0.00055
AHMEDABAD-AYODHYA,AHMEDABAD,AYODHYA,54008.0,0.000549
CHENNAI-VIJAYWADA,CHENNAI,VIJAYWADA,53676.0,0.000546
AHMEDABAD-NAGPUR,AHMEDABAD,NAGPUR,53369.0,0.000543
CHENNAI-DURGAPUR,CHENNAI,DURGAPUR,53227.0,0.000541
GHAZIABAD-KOLKATA,GHAZIABAD,KOLKATA,52686.0,0.000536
DARBHANGA-HYDERABAD,DARBHANGA,HYDERABAD,52248.0,0.000531
CHENNAI-LUCKNOW,CHENNAI,LUCKNOW,51338.0,0.000522
JODHPUR-PUNE,JODHPUR,PUNE,51248.0,0.000521
BAGDOGRA-IMPHAL,BAGDOGRA,IMPHAL,50432.0,0.000513
AGARTALA-BENGALURU,AGARTALA,BENGALURU,50023.0,0.000509
BENGALURU-DARBHANGA,BENGALURU,DARBHANGA,49720.0,0.000506
CHANDIGARH-PATNA,CHANDIGARH,PATNA,49706.0,0.000505
INDORE-JAIPUR,INDORE,JAIPUR,49586.0,0.000504
HUBLI-MUMBAI,HUBLI,MUMBAI,49461.0,0.000503
BELGAUM-BENGALURU,BELGAUM,BENGALURU,48990.0,0.000498
DELHI-TIRUCHIRAPPALLI,DELHI,TIRUCHIRAPPALLI,48015.0,0.000488
AGARTALA-BAGDOGRA,AGARTALA,BAGDOGRA,47747.0,0.000486
AYODHYA-BENGALURU,AYODHYA,BENGALURU,47721.0,0.000485
CHENNAI-GHAZIABAD,CHENNAI,GHAZIABAD,47548.0,0.000483
DELHI-TIRUPATI,DELHI,TIRUPATI,47420.0,0.000482
AGARTALA-HYDERABAD,AGARTALA,HYDERABAD,47326.0,0.000481
GAYA-KOLKATA,GAYA,KOLKATA,46884.0,0.000477
JHARSUGUDA-MUMBAI,JHARSUGUDA,MUMBAI,46933.0,0.000477
DELHI-PANTNAGAR,DELHI,PANTNAGAR,46635.0,0.000474
HYDERABAD-SHIVAMOGGA,HYDERABAD,SHIVAMOGGA,46427.0,0.000472
JAMMU-MUMBAI,JAMMU,MUMBAI,45624.0,0.000464
LUCKNOW-PATNA,LUCKNOW,PATNA,45432.0,0.000462
DEHRADUN-LUCKNOW,DEHRADUN,LUCKNOW,43965.0,0.000447
AHMEDABAD-AMRITSAR,AHMEDABAD,AMRITSAR,43643.0,0.000444
ALLAHABAD-BENGALURU,ALLAHABAD,BENGALURU,43172.0,0.000439
DELHI-GWALIOR,DELHI,GWALIOR,42288.0,0.00043
BENGALURU-GWALIOR,BENGALURU,GWALIOR,41993.0,0.000427
KOLKATA-PURNEA,KOLKATA,PURNEA,41921.0,0.000426
JAIPUR-UDAIPUR,JAIPUR,UDAIPUR,41921.0,0.000426
GORAKHPUR-KOLKATA,GORAKHPUR,KOLKATA,41428.0,0.000421
AHMEDABAD-BHOPAL,AHMEDABAD,BHOPAL,41297.0,0.00042
DELHI-RAJAHMUNDRY,DELHI,RAJAHMUNDRY,41158.0,0.000419
BHUBANESWAR-PATNA,BHUBANESWAR,PATNA,40509.0,0.000412
BAREILLY-MUMBAI,BAREILLY,MUMBAI,39554.0,0.000402
BHUBANESWAR-RAIPUR,BHUBANESWAR,RAIPUR,39522.0,0.000402
BENGALURU-KANPUR,BENGALURU,KANPUR,39335.0,0.0004
GHAZIABAD-VARANASI,GHAZIABAD,VARANASI,39122.0,0.000398
HUBLI-HYDERABAD,HUBLI,HYDERABAD,38602.0,0.000393
BHOPAL-HYDERABAD,BHOPAL,HYDERABAD,38570.0,0.000392
PATNA-RANCHI,PATNA,RANCHI,38375.0,0.00039
